"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"1966","Senators","1952","1431","12771.0","4255","1687","142","","","362","","","","","55","50","14","43",".977","39"
"1969","Athletics","1896","1458","13326.0","4440","1788","137","","","432","","","","","84","48","26","54",".978","39"
"1974","Indians","1912","1458","13011.0","4334","1862","146","","","421","","","","","92","48","10","21",".977","39"
"1975","Phillies","2004","1458","13095.0","4365","1795","152","","","430","","","","","69","52","10","50",".976","39"
"1976","Royals","1929","1458","13251.0","4417","1858","139","","","397","","","","","146","66","9","29",".978","39"
"1983","Expos","1963","1467","13239.0","4413","1687","114","","","352","","","","","115","86","8","38",".982","39"
"1987","Angels","1973","1457","13116.0","4368","1641","117","","","426","","","","","72","58","11","54",".981","39"
"1991","Orioles","2071","1458","13119.0","4372","1807","91","","","455","","","","","111","51","8","49",".985","39"
"1992","White Sox","1948","1458","13155.0","4385","1778","129","","","365","","","","","120","57","13","35",".979","39"
"1992","Padres","1988","1458","13152.0","4383","1719","115","","","337","","","","","141","69","2","25",".982","39"
"1999","Orioles","2039","1458","12915.0","4305","1781","89","","","508","","","","","93","50","5","55",".986","39"
"1999","Diamondbacks","2023","1458","13206.0","4403","1585","104","","","356","","","","","138","66","17","39",".983","39"
"2000","Red Sox","2129","1456","13074.0","4358","1646","109","","","320","","","","","159","47","26","33",".982","39"
"2001","Angels","2026","1458","12939.0","4313","1689","103","","","379","","","","","109","59","16","46",".983","39"
"1906","White Sox","996","154","1375.1","3366","2188","213","","","192","","","","","","","19","",".963","38"
"1919","Giants","990","140","1256.0","2873","1941","177","","","230","","","","","","","16","",".965","38"
"1926","Giants","1133","151","1341.2","3042","1878","149","","","364","","","","","","","15","",".971","38"
"1967","Cubs","1807","1458","13113.0","4363","1849","121","","","386","","","","","57","38","4","36",".981","38"
"1974","Dodgers","1841","1458","13188.0","4395","1760","157","","","318","","","","","76","47","19","36",".975","38"
"1982","Royals","1886","1458","12879.0","4294","1743","127","","","389","","","","","85","53","6","43",".979","38"
"1985","Angels","1966","1458","13116.0","4372","1841","112","","","546","","","","","79","56","8","45",".982","38"
"1988","Tigers","1909","1458","13011.0","4336","1615","109","","","349","","","","","80","43","8","57",".982","38"
"1991","Twins","2109","1458","13044.0","4348","1779","95","","","425","","","","","118","43","12","57",".985","38"
"2000","Braves","2035","1458","12963.0","4321","1733","129","","","373","","","","","99","33","9","23",".979","38"
"1902","Pirates","872","141","1264.2","3029","1736","221","","","202","","","","","","","20","",".956","37"
"1903","Americans","879","141","1255.0","3043","1783","198","","","202","","","","","","","26","",".961","37"
"1903","Pirates","890","141","1251.1","3027","1886","247","","","231","","","","","","","25","",".952","37"
"1908","Cubs","1036","158","1433.2","3439","2002","177","","","208","","","","","","","12","",".968","37"
"1915","Reds","1136","160","1432.1","3359","2058","183","","","365","","","","","","","12","",".967","37"
"1918","Red Sox","828","126","1120.0","2659","1679","123","","","206","","","","","","","9","",".972","37"
"1935","Tigers","1025","152","1364.0","3033","1689","90","","","404","","","","","","","6","",".981","37"
"1937","Bees","1048","152","1359.1","3002","1873","133","","","338","","","","","","","5","",".973","37"
"1941","Cardinals","1172","155","1416.1","3249","1808","142","","","389","","","","","","","6","",".973","37"
"1951","Cardinals","1175","155","1387.2","3099","1822","101","","","495","","","","","","","8","",".980","37"
"1959","Cubs","1832","1395","12519.0","4171","1758","140","","","383","","","","","107","27","12","34",".977","37"
"1960","Indians","1772","1386","12441.0","4153","1569","128","","","446","","","","","59","40","13","36",".978","37"
"1962","Red Sox","1731","1440","12939.0","4304","1699","130","","","418","","","","","70","24","12","43",".979","37"
"1986","Athletics","1961","1458","12897.0","4300","1597","135","","","322","","","","","139","53","16","62",".978","37"
"1990","Cardinals","2024","1458","12990.0","4328","1732","130","","","312","","","","","144","76","11","45",".979","37"
"1998","Indians","2049","1458","13140.0","4382","1726","110","","","396","","","","","110","47","8","35",".982","37"
"1999","Tigers","2040","1449","12789.0","4263","1623","106","","","424","","","","","81","44","12","43",".982","37"
"1887","Wolverines","773","127","1116.1","2562","1507","310","","","224","","","","","","","44","",".929","36"
"1895","Orioles","835","131","1134.1","2575","1559","250","","","257","","","","","","","20","",".943","36"
"1907","White Sox","1026","157","1406.1","3485","2355","206","","","244","","","","","","","24","",".966","36"
"1923","Yankees","1046","152","1380.2","3083","1828","108","","","320","","","","","","","21","",".978","36"
"1957","Braves","1727","1395","12699.0","4234","1809","120","","","473","","","","","58","39","6","26",".981","36"
"1960","Pirates","1728","1395","12597.0","4185","1773","128","","","445","","","","","41","33","10","25",".979","36"
"1963","Twins","1950","1449","13017.0","4345","1596","144","","","359","","","","","43","23","13","57",".976","36"
"1975","Pirates","1813","1449","12936.0","4311","1802","151","","","389","","","","","81","35","19","37",".976","36"
"1978","Orioles","1915","1449","12861.0","4288","1888","110","","","452","","","","","81","68","7","44",".983","36"
"1980","Twins","1891","1449","13059.0","4353","1995","147","","","523","","","","","76","59","8","32",".977","36"
"1990","Yankees","2014","1458","13002.0","4334","1791","126","","","440","","","","","106","83","27","83",".980","36"
"1996","Braves","2107","1458","13221.0","4407","1810","130","","","376","","","","","116","44","11","49",".980","36"
"1997","Cubs","2156","1458","12861.0","4286","1605","112","","","316","","","","","146","59","16","35",".981","36"
"1886","Quakers","730","119","1045.2","2516","1383","313","","","105","","","","","","","95","",".926","35"
"1911","Cubs","1080","157","1411.0","3299","1986","220","","","284","","","","","","","11","",".960","35"
"1912","Pirates","1027","152","1385.0","3129","1771","134","","","279","","","","","","","21","",".973","35"
"1920","Yankees","1050","154","1368.0","3211","1993","144","","","292","","","","","","","7","",".973","35"
"1942","Dodgers","1157","155","1398.2","3173","1646","119","","","399","","","","","","","5","",".976","35"
"1955","Redlegs","1272","154","1363.0","3052","1661","119","","","452","","","","","","","10","29",".975","35"
"1962","Yankees","1879","1458","13233.0","4397","1753","131","","","412","","","","","32","29","7","27",".979","35"
"1965","Cardinals","1887","1458","13152.0","4376","1747","129","","","393","","","","","84","31","23","48",".979","35"
"1967","Red Sox","1912","1458","13134.0","4377","1618","142","","","357","","","","","63","38","8","55",".977","35"
"1968","Indians","1978","1458","13179.0","4395","1460","127","","","334","","","","","61","44","22","42",".979","35"
"1974","Expos","1945","1449","12861.0","4292","1924","153","","","414","","","","","89","64","13","61",".976","35"
"1977","Cardinals","2066","1458","13010.0","4340","1849","139","","","471","","","","","117","62","10","43",".978","35"
"1979","Red Sox","1819","1440","12882.0","4293","1853","142","","","449","","","","","116","41","20","31",".977","35"
"1985","Tigers","1914","1449","13104.0","4372","1673","143","","","418","","","","","93","53","10","62",".977","35"
"1987","Padres","2091","1458","12900.0","4295","1798","147","","","371","","","","","126","51","22","55",".976","35"
"1994","Cardinals","1441","1035","9162.0","3054","1260","80","","","328","","","","","70","40","6","40",".982","35"
"1994","Giants","1451","1035","9228.0","3075","1275","68","","","304","","","","","76","35","6","32",".985","35"
"1998","Expos","2175","1458","12843.0","4280","1687","155","","","334","","","","","132","64","18","50",".975","35"
"1999","Indians","2111","1458","13053.0","4351","1739","106","","","418","","","","","118","46","8","54",".983","35"
"1999","Phillies","2140","1458","12945.0","4314","1598","100","","","387","","","","","94","35","13","67",".983","35"
"1876","White Stockings","424","66","592.1","1383","706","216","","","81","","","","","","","31","",".906","34"
"1879","Bisons","478","79","713.0","1759","1012","264","","","160","","","","","","","74","",".913","34"
"1883","Red Stockings","599","98","866.2","2052","1034","308","","","137","","","","","","","90","",".909","34"
"1891","Solons","859","124","1093.0","2948","1757","305","","","292","","","","","","","59","",".939","34"
"1921","Red Sox","1038","154","1364.1","3097","1910","116","","","360","","","","","","","12","",".977","34"
"1932","Cubs","1111","154","1401.0","3176","1903","151","","","392","","","","","","","17","",".971","34"
"1935","White Sox","1055","153","1360.2","3094","1858","122","","","344","","","","","","","11","",".976","34"
"1953","Reds","1199","155","1365.0","2969","1668","106","","","475","","","","","","","7","",".978","34"
"1961","Reds","1776","1386","12330.0","4113","1592","134","","","316","","","","","68","33","23","40",".977","34"
"1963","Tigers","1789","1458","13107.0","4365","1628","113","","","336","","","","","38","25","21","42",".981","34"
"1965","Braves","2017","1458","13035.0","4339","1744","140","","","382","","","","","80","49","28","61",".978","34"
"1968","White Sox","2103","1458","13212.0","4393","1940","151","","","400","","","","","88","55","16","40",".977","34"
"1981","Rangers","1204","945","8463.0","2820","1342","69","","","276","","","","","50","38","10","18",".984","34"
"1981","Cardinals","1307","927","8487.0","2832","1348","82","","","290","","","","","94","40","5","22",".981","34"
"1983","Astros","1925","1458","13197.0","4408","1837","147","","","443","","","","","182","54","35","49",".977","34"
"1991","Red Sox","1977","1458","12957.0","4319","1768","116","","","451","","","","","97","53","11","42",".981","34"
"1993","Astros","1975","1458","12972.0","4324","1651","126","","","373","","","","","110","42","7","60",".979","34"
"1993","Giants","2042","1458","13110.0","4371","1733","101","","","455","","","","","81","66","15","33",".984","34"
"1994","Brewers","1460","1035","9324.0","3110","1302","85","","","344","","","","","117","28","11","30",".981","34"
"1998","Phillies","1993","1458","13167.0","4389","1747","110","","","348","","","","","87","33","15","73",".982","34"
"1876","Grays","422","69","643.0","1603","813","336","","","72","","","","","","","45","",".878","33"
"1887","Hoosiers","781","127","1088.0","2571","1621","359","","","253","","","","","","","126","",".921","33"
"1898","Orioles","951","153","1323.0","3090","1774","271","","","216","","","","","","","35","",".947","33"
"1900","Pirates","890","140","1229.0","2848","1792","268","","","249","","","","","","","43","",".945","33"
"1901","Beaneaters","862","140","1263.0","2968","1699","216","","","202","","","","","","","15","",".956","33"
"1911","Pirates","1045","155","1380.1","3081","1782","202","","","323","","","","","","","15","",".960","33"
"1922","Reds","1058","156","1385.2","3116","2021","169","","","352","","","","","","","6","",".968","33"
"1929","Cubs","1117","158","1398.2","3113","1877","127","","","427","","","","","","","13","",".975","33"
"1936","White Sox","1064","153","1365.0","3092","1924","132","","","453","","","","","","","11","",".974","33"
"1936","Cubs","1103","154","1382.1","3117","1729","116","","","405","","","","","","","11","",".977","33"
"1946","Yankees","1134","154","1361.0","3053","1714","132","","","456","","","","","","","11","",".973","33"
"1951","Dodgers","1204","158","1423.1","3201","1706","111","","","503","","","","","","","4","",".978","33"
"1956","Cardinals","1776","1404","12498.0","4165","1758","135","","","454","","","","","52","23","8","45",".978","33"
"1969","Senators","2078","1458","13026.0","4333","1862","140","","","420","","","","","84","58","13","57",".978","33"
"1979","Royals","1896","1458","13035.0","4345","1777","147","","","432","","","","","75","59","15","40",".977","33"
